고객ID,체류시간(분)
C-508,9
C-509,8
C-510,7
C-511,9
C-512,10
C-513,11
C-514,9
C-515,10
C-516,8
C-517,9
C-518,11
C-519,9
C-520,10
C-521,9
C-522,10
C-523,9
C-524,8
C-525,10
C-526,12
C-527,8
C-528,10
C-529,10
C-530,10
C-531,9
C-532,9
C-533,10
C-534,8
C-535,11
C-536,9
C-537,10
C-538,10
C-539,11
C-540,9
C-541,9
C-542,9
C-543,9
C-544,9
C-545,9
C-546,9
C-547,9
C-548,8
C-549,10
C-550,10
C-551,10
C-552,9
C-553,9
C-554,11
C-555,10
C-556,8
C-557,8
C-558,10
C-559,11
C-560,9
C-561,8
C-562,10
C-563,10
C-564,10
C-565,9
C-566,10
C-567,10
C-568,8
C-569,11
C-570,8
C-571,10
C-572,9
C-573,9
C-574,10
C-575,8
C-576,9
C-577,10
C-578,10
C-579,9
C-580,9
C-581,9
C-582,11
C-583,10
C-584,12
C-585,8
C-586,8
C-587,9
C-588,7
C-589,11
C-590,11
C-591,9
C-592,8
C-593,9
C-594,9
C-595,9
C-596,10
C-597,10
C-598,10
C-599,10
C-600,10
C-601,9
C-602,9
C-603,11
C-604,10
C-605,9
C-606,10
C-607,10
C-608,9
C-609,11
C-610,9
C-611,10
C-612,8
C-613,9
C-614,8
C-615,11
C-616,10
C-617,10
C-618,9
C-619,11
C-620,9
C-621,10
C-622,11
C-623,10
C-624,10
C-625,11
C-626,9
C-627,9
C-628,11
C-629,10
C-630,9
C-631,9
C-632,9
C-633,9
C-634,8
C-635,6
C-636,11
C-637,9
C-638,9
C-639,10
C-640,8
C-641,8
C-642,9
C-643,9
C-644,11
C-645,9
C-646,10
C-647,10
C-648,8
C-649,10
C-650,9
C-651,9
C-652,7
C-653,9
C-654,10
C-655,10
C-656,10
C-657,10
C-658,8
C-659,9
C-660,11
C-661,10
C-662,9
C-663,9
C-664,8
C-665,9
C-666,10
C-667,8
C-668,8
C-669,10
C-670,8
C-671,10
C-672,10
C-673,11
C-674,9
C-675,10
C-676,9
C-677,9
C-678,9
C-679,8
C-680,9
C-681,10
C-682,9
C-683,10
C-684,10
C-685,9
C-686,9
C-687,9
C-688,11
C-689,8
C-690,11
C-691,11
C-692,9
C-693,9
C-694,9
C-695,10
