고객ID,체류시간(분)
C-820,8
C-821,11
C-822,10
C-823,11
C-824,9
C-825,8
C-826,7
C-827,6
C-828,9
C-829,5
C-830,4
C-831,7
C-832,13
C-833,8
C-834,4
C-835,3
C-836,6
C-837,9
C-838,12
C-839,9
C-840,2
C-841,10
C-842,10
C-843,9
C-844,15
C-845,9
C-846,9
C-847,11
C-848,10
C-849,10
C-850,7
C-851,9
C-852,6
C-853,12
C-854,5
C-855,11
C-856,11
C-857,8
C-858,11
C-859,7
C-860,9
C-861,9
C-862,6
C-863,13
C-864,13
C-865,10
C-866,13
C-867,8
C-868,10
C-869,9
C-870,11
C-871,4
C-872,6
C-873,10
C-874,8
C-875,12
C-876,14
C-877,14
C-878,16
C-879,9
C-880,11
C-881,13
C-882,9
C-883,9
C-884,12
C-885,6
C-886,10
C-887,9
C-888,13
C-889,13
C-890,15
C-891,16
C-892,10
C-893,7
C-894,9
C-895,14
C-896,8
C-897,13
C-898,4
C-899,9
C-900,5
C-901,13
C-902,10
C-903,15
C-904,9
C-905,10
C-906,5
C-907,13
C-908,12
C-909,6
C-910,5
C-911,15
C-912,6
C-913,11
C-914,6
C-915,8
C-916,14
C-917,7
C-918,9
C-919,12
C-920,13
C-921,11
C-922,13
C-923,5
C-924,11
