고객ID,구매금액
C-200,0
C-201,0
C-202,0
C-203,19055
C-204,0
C-205,0
C-206,17958
C-207,0
C-208,0
C-209,0
C-210,16292
C-211,18296
C-212,17472
C-213,0
C-214,17003
C-215,0
C-216,0
C-217,0
C-218,0
C-219,16919
C-220,18036
C-221,0
C-222,0
C-223,0
C-224,0
C-225,0
C-226,18333
C-227,0
C-228,0
C-229,0
C-230,0
C-231,18790
C-232,0
C-233,0
C-234,0
C-235,18476
C-236,17656
C-237,0
C-238,19401
C-239,18165
C-240,0
C-241,0
C-242,0
C-243,17938
C-244,0
C-245,16646
C-246,19687
C-247,0
C-248,0
C-249,0
C-250,0
C-251,0
C-252,0
C-253,16829
C-254,0
C-255,18523
C-256,0
C-257,0
C-258,0
C-259,18219
C-260,0
C-261,0
C-262,0
C-263,0
C-264,17841
C-265,18901
C-266,17940
C-267,0
C-268,17361
C-269,0
C-270,0
C-271,0
C-272,0
C-273,18626
C-274,18869
C-275,0
C-276,0
C-277,16528
C-278,16169
C-279,0
C-280,18261
C-281,18988
C-282,0
C-283,0
C-284,17040
C-285,17941
C-286,19306
C-287,18638
C-288,0
C-289,0
C-290,0
C-291,0
C-292,17245
C-293,19988
C-294,18873
C-295,0
C-296,0
C-297,0
C-298,19359
C-299,19125
C-300,17486
C-301,19579
C-302,19049
C-303,18590
C-304,0
C-305,0
C-306,0
C-307,18074
C-308,0
C-309,18091
C-310,0
C-311,0
C-312,18567
C-313,20944
C-314,0
C-315,0
C-316,18029
C-317,0
C-318,17043
C-319,18648
C-320,0
C-321,0
C-322,0
C-323,0
C-324,16544
C-325,18794
C-326,18741
C-327,0
C-328,0
C-329,0
C-330,0
C-331,0
C-332,17667
C-333,0
C-334,17729
C-335,17515
C-336,0
C-337,19275
C-338,18199
C-339,18953
C-340,0
C-341,0
C-342,0
C-343,17915
C-344,16265
C-345,0
C-346,0
C-347,0
C-348,0
C-349,19629
C-350,0
C-351,16951
C-352,0
C-353,19429
C-354,16830
C-355,0
C-356,15673
C-357,0
C-358,16396
C-359,17814
