고객ID,구매금액
C-360,0
C-361,19844
C-362,19085
C-363,0
C-364,19671
C-365,0
C-366,20429
C-367,20855
C-368,0
C-369,20554
C-370,0
C-371,0
C-372,0
C-373,20541
C-374,19774
C-375,0
C-376,0
C-377,21641
C-378,0
C-379,0
C-380,22352
C-381,0
C-382,20783
C-383,21120
C-384,0
C-385,0
C-386,17282
C-387,0
C-388,19011
C-389,20839
C-390,0
C-391,0
C-392,18950
C-393,0
C-394,19249
C-395,0
C-396,19701
C-397,0
C-398,0
C-399,0
C-400,0
C-401,0
C-402,0
C-403,0
C-404,0
C-405,19686
C-406,20294
C-407,0
C-408,0
C-409,18794
C-410,19354
C-411,0
C-412,0
C-413,0
C-414,0
C-415,0
C-416,20332
C-417,20152
C-418,0
C-419,0
C-420,0
C-421,0
C-422,19702
C-423,0
C-424,20273
C-425,0
C-426,0
C-427,20129
C-428,0
C-429,0
C-430,0
C-431,0
C-432,0
C-433,0
C-434,0
C-435,21526
C-436,19507
C-437,0
C-438,21706
C-439,0
C-440,0
C-441,0
C-442,0
C-443,0
C-444,0
C-445,19083
C-446,0
C-447,0
C-448,0
C-449,0
C-450,20380
C-451,0
C-452,20212
C-453,19578
C-454,20621
C-455,20518
C-456,0
C-457,0
C-458,0
C-459,20727
C-460,20664
C-461,20611
C-462,18169
C-463,21284
C-464,0
C-465,20814
C-466,0
C-467,20773
C-468,21456
C-469,20694
C-470,0
C-471,0
C-472,17275
C-473,0
C-474,0
C-475,0
C-476,0
C-477,20105
C-478,0
C-479,20027
C-480,17400
C-481,20658
C-482,0
C-483,19174
C-484,0
C-485,20398
C-486,18149
C-487,0
C-488,0
C-489,0
C-490,0
C-491,0
C-492,0
C-493,18885
C-494,19733
C-495,0
C-496,19350
C-497,0
C-498,0
C-499,0
C-500,20463
C-501,0
C-502,21519
C-503,0
C-504,0
C-505,0
C-506,21363
C-507,0
